uid,title,the content,writer,Published at,score,comments_quantity
40997087,Polychromatic Pixels,,bluehat974,1721319101,89,50
40998158,"Devzat – Chat over SSH, with some nice quality-of-life features",,humanperhaps,1721325532,27,5
40997799,Evolving the ASF Brand,,Tomte,1721323227,19,8
40995515,The Objects of Our Life (1983),,Brajeshwar,1721310200,149,69
40995982,Hash-based bisect debugging in compilers and runtimes,,rsc,1721313418,75,2
40955272,Jigsaw Puzzle Robot [pdf],,kickofline,1720890281,44,12
40992982,My daughter (7 years old) used HTML to make a website,,fintler,1721283891,649,299
40997571,Eventual (YC W22) Is Hiring a Developer Relations Manager for Daft (SF),,sammysidhu,1721322052,1,
40995527,Sparrows may be 'canary in the coal mine' for lead poisoning in children: study,,Brajeshwar,1721310267,80,31
40994552,Ask HN: What's Prolog like in 2024?,"Hi, i am a compsci student that stumbled upon prolog and logic programming during my studies.<p>While i have seen the basics of vanilla prolog (atoms, predicates, cuts, lists and all that jazz) and a godawful implementation of an agent communication system that works on SICStus prolog. I would like to know more because i think that this language might be a powerhouse in per se.<p>Since my studies are quite basic in this regards i would like to expand my knowledge on it and kind of specialize myself both in this world and another world (ontologies :D) that i really enjoy.<p>What&#x27;s prolog like in 2024? what are you wonderful people doing with it?<p>thanks from a dumbass :D",overclock351,1721301786,244,147
